A ,B,C
369,494,999
371,496,1003
372,498,1007
374,500,1011
375,502,1015
377,504,1019
378,506,1023
380,508,1027
381,510,1031
383,512,1035
384,514,1039
386,516,1043
387,518,1047
389,520,1051
390,522,1055
392,524,1059
393,526,1063
395,528,1067
396,530,1071
398,532,1075
399,534,1079
401,536,1083
402,538,1087
404,540,1091
405,542,1095
407,544,1099
408,546,1103
410,548,1107
411,550,1111
413,552,1115
414,554,1119
416,556,1123
417,558,1127
419,560,1131
420,562,1135
422,564,1139
423,566,1143
425,568,1147
426,570,1151
428,572,1155
429,574,1159
431,576,1163
432,578,1167
434,580,1171
435,582,1175
437,584,1179
438,586,1183
440,588,1187
441,590,1191
443,592,1195
444,594,1199
446,596,1203
447,598,1207
449,600,1211
450,602,1215
452,604,1219
453,606,1223
455,608,1227
456,610,1231
458,612,1235
459,614,1239
461,616,1243
462,618,1247
464,620,1251
465,622,1255
467,624,1259
468,626,1263
470,628,1267
471,630,1271
473,632,1275
474,634,1279
476,636,1283
477,638,1287
479,640,1291
480,642,1295
482,644,1299
483,646,1303
485,648,1307
486,650,1311
488,652,1315
489,654,1319
491,656,1323
492,658,1327
494,660,1331
495,662,1335
497,664,1339
498,666,1343
500,668,1347
501,670,1351
503,672,1355
504,674,1359
506,676,1363
507,678,1367
509,680,1371
510,682,1375
512,684,1379
513,686,1383
515,688,1387
516,690,1391
518,692,1395
519,694,1399
521,696,1403
522,698,1407
524,700,1411
525,702,1415
527,704,1419
528,706,1423
530,708,1427
531,710,1431
533,712,1435
534,714,1439
536,716,1443
537,718,1447
539,720,1451
540,722,1455
542,724,1459
543,726,1463
545,728,1467
546,730,1471
548,732,1475
549,734,1479
551,736,1483
552,738,1487
554,740,1491
555,742,1495
557,744,1499
558,746,1503
560,748,1507
561,750,1511
563,752,1515
564,754,1519
566,756,1523
567,758,1527
569,760,1531
570,762,1535
572,764,1539
573,766,1543
575,768,1547
576,770,1551
578,772,1555
579,774,1559
581,776,1563
582,778,1567
584,780,1571
585,782,1575
587,784,1579
588,786,1583
590,788,1587
591,790,1591
593,792,1595
594,794,1599
596,796,1603
597,798,1607
599,800,1611
600,802,1615
602,804,1619
603,806,1623
605,808,1627
606,810,1631
608,812,1635
609,814,1639
611,816,1643
612,818,1647
614,820,1651
615,822,1655
617,824,1659
618,826,1663
620,828,1667
621,830,1671
623,832,1675
624,834,1679
626,836,1683
627,838,1687
629,840,1691
630,842,1695
632,844,1699
633,846,1703
635,848,1707
636,850,1711
638,852,1715
639,854,1719
641,856,1723
642,858,1727
644,860,1731
645,862,1735
647,864,1739
648,866,1743
650,868,1747
651,870,1751
653,872,1755
654,874,1759
656,876,1763
657,878,1767
659,880,1771
660,882,1775
662,884,1779
663,886,1783
665,888,1787
666,890,1791
668,892,1795
669,894,1799
671,896,1803
672,898,1807
674,900,1811
675,902,1815
677,904,1819
678,906,1823
680,908,1827
681,910,1831
683,912,1835
684,914,1839
686,916,1843
687,918,1847
689,920,1851
690,922,1855
692,924,1859
693,926,1863
695,928,1867
696,930,1871
698,932,1875
699,934,1879
701,936,1883
702,938,1887
704,940,1891
705,942,1895
707,944,1899
708,946,1903
710,948,1907
711,950,1911
713,952,1915
714,954,1919
716,956,1923
717,958,1927
719,960,1931
720,962,1935
722,964,1939
723,966,1943
725,968,1947
726,970,1951
